                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.27915,                0.19713,                0.90737,                0.97564,                0.96827,                0.98507,                0.89069,                  0.524,                0.28475,                0.91364,               0.004357,               0.004357,               0.004357
                     59,                0.28025,                0.19597,                0.90558,                0.97656,                0.96749,                0.98559,                0.89376,                0.51348,                0.28788,                0.90154,               0.004258,               0.004258,               0.004258
                     60,                 0.2739,                0.19367,                0.90659,                0.97227,                0.97368,                0.98448,                0.89036,                0.51713,                0.28674,                0.90449,               0.004159,               0.004159,               0.004159
                     61,                0.27367,                0.19319,                0.90636,                 0.9781,                0.96771,                 0.9853,                0.89437,                0.51756,                0.28267,                0.90819,                0.00406,                0.00406,                0.00406
                     62,                0.27424,                0.19455,                0.90625,                0.97893,                0.97103,                0.98596,                0.89492,                0.52044,                0.28177,                0.91104,               0.003961,               0.003961,               0.003961
                     63,                0.27122,                0.18929,                0.90303,                0.98115,                0.96666,                0.98666,                0.89669,                 0.5152,                0.27824,                0.90368,               0.003862,               0.003862,               0.003862
                     64,                0.26877,                0.18878,                 0.9051,                0.98219,                 0.9644,                0.98597,                0.89573,                 0.5177,                0.28232,                0.90727,               0.003763,               0.003763,               0.003763
                     65,                0.26479,                0.18495,                0.89913,                0.97674,                0.96827,                0.98482,                0.89555,                0.51355,                0.28254,                0.90341,               0.003664,               0.003664,               0.003664
                     66,                 0.2689,                0.18697,                0.90527,                0.97761,                0.97214,                0.98641,                0.89717,                0.51322,                0.28059,                0.90507,               0.003565,               0.003565,               0.003565
                     67,                0.26338,                0.18261,                0.90017,                 0.9768,                0.97214,                0.98687,                0.89645,                0.51166,                0.27835,                0.90222,               0.003466,               0.003466,               0.003466
                     68,                0.26636,                0.18491,                0.90233,                0.97813,                0.96921,                0.98658,                0.89784,                0.51468,                0.27442,                0.90084,               0.003367,               0.003367,               0.003367
                     69,                0.25992,                0.18153,                0.89985,                0.98189,                0.96508,                0.98619,                0.90093,                0.51004,                0.27257,                0.89353,               0.003268,               0.003268,               0.003268
                     70,                    inf,                0.18072,                0.90165,                0.98184,                0.96517,                0.98674,                0.90139,                0.50827,                0.27401,                0.89467,               0.003169,               0.003169,               0.003169
                     71,                 0.2583,                0.17756,                0.89766,                0.97818,                0.97135,                0.98739,                0.90296,                0.50729,                0.27215,                0.89609,                0.00307,                0.00307,                0.00307
                     72,                0.25954,                0.17736,                0.89948,                0.97964,                0.96852,                0.98733,                0.90138,                0.50771,                0.27155,                 0.8956,               0.002971,               0.002971,               0.002971
                     73,                0.25618,                0.17746,                0.89853,                0.97847,                0.96672,                0.98671,                0.89901,                0.51102,                  0.272,                0.90095,               0.002872,               0.002872,               0.002872
                     74,                0.25357,                0.17626,                0.89378,                0.98119,                0.96981,                0.98725,                0.90022,                0.51426,                0.27241,                0.90324,               0.002773,               0.002773,               0.002773
                     75,                0.25123,                0.17212,                0.89594,                0.98161,                0.96904,                0.98707,                0.89955,                0.51289,                0.27206,                0.90393,               0.002674,               0.002674,               0.002674
                     76,                0.24905,                 0.1721,                0.89509,                0.98215,                0.96749,                0.98686,                0.90106,                0.51265,                0.27572,                0.90483,               0.002575,               0.002575,               0.002575
                     77,                0.24968,                 0.1693,                0.89655,                0.98194,                0.96764,                0.98732,                0.90019,                0.51196,                0.27474,                0.90424,               0.002476,               0.002476,               0.002476
                     78,                 0.2453,                0.16898,                  0.893,                0.97967,                 0.9696,                0.98738,                0.90095,                0.51244,                0.27249,                0.90566,               0.002377,               0.002377,               0.002377
                     79,                0.24811,                0.16774,                0.89465,                0.98114,                0.96661,                0.98698,                0.90191,                0.51019,                0.27385,                0.90292,               0.002278,               0.002278,               0.002278
                     80,                0.24442,                0.16606,                0.89451,                0.98072,                0.96827,                0.98803,                0.90204,                0.50696,                0.27308,                0.89942,               0.002179,               0.002179,               0.002179
